index	node	GO	desc	num_ref	Count	expected	fold	FDR	genes	type
13	0	GO:0010152	pollen maturation	18	7	1.600611754	4.373327873	0.003098261	AT5G23630,AT3G02130,AT1G22130,AT1G34210,AT1G71830,AT1G12820,AT1G18750	Development & Growth
39	0	GO:0048481	plant ovule development	55	13	4.890758139	2.658074604	0.003095045	AT3G55400,AT5G62090,AT5G16560,AT5G62000,AT4G29860,AT5G60410,AT1G25350,AT1G77300,AT2G36190,AT5G42630,AT4G36920,AT4G17300,AT2G41670	Development & Growth
59	0	GO:0010053	root epidermal cell differentiation	140	25	12.44920253	2.008160758	0.002450453	AT1G13980,AT3G56930,AT4G35020,AT5G05980,AT5G37850,AT2G24260,AT1G78870,AT1G05850,AT2G47000,AT5G43900,AT5G64070,AT1G12560,AT5G20490,AT3G53750,AT3G57630,AT1G59610,AT5G42080,AT1G48380,AT3G20630,AT1G67490,AT4G00150,AT2G22475,AT5G13010,AT5G41950,AT1G24620	Development & Growth
72	0	GO:0060560	developmental growth involved in morphogenesis	334	49	29.70024033	1.6498183	0.001811079	AT4G25420,AT5G39280,AT2G03090,AT4G35020,AT2G25630,AT5G07200,AT5G05980,AT1G77460,AT2G24260,AT5G39270,AT5G43900,AT5G64070,AT1G12560,AT5G20490,AT3G02260,AT2G13680,AT5G55810,AT5G35700,AT3G20630,AT4G00150,AT1G21270,AT5G28490,AT5G13010,AT1G24620,AT5G60910,AT1G04950,AT1G13980,AT3G56930,AT3G08970,AT4G01630,AT3G59760,AT4G22970,AT2G37640,AT1G44090,AT1G75500,AT1G54560,AT2G47000,AT1G01510,AT5G16490,AT1G60420,AT3G53750,AT4G02350,AT5G60410,AT3G12160,AT3G10380,AT5G41950,AT3G23090,AT5G54380,AT1G22620	Development & Growth
7	0	GO:1900056	negative regulation of leaf senescence	15	7	1.333843129	5.247993448	0.00136553	AT3G56400,AT3G27010,AT1G70170,AT2G20570,AT3G22170,AT5G22070,AT2G45680	Development & Growth
29	0	GO:0010214	seed coat development	49	13	4.357220887	2.983553126	0.001295758	AT4G02750,AT1G09540,AT1G62990,AT4G09820,AT5G15740,AT5G04160,AT1G21070,AT3G10380,AT2G32700,AT3G46550,AT3G13540,AT5G58230,AT1G43620	Development & Growth
54	0	GO:0010150	leaf senescence	110	22	9.781516277	2.249140049	0.001186234	AT3G56400,AT5G45890,AT1G59750,AT5G24530,AT4G32940,AT1G32450,AT5G62165,AT5G62000,AT4G01250,AT4G02260,AT3G15010,AT5G11520,AT4G35890,AT2G22300,AT5G08560,AT1G17020,AT1G54130,AT1G04010,AT5G13170,AT1G34190,AT5G17290,AT4G30790	Development & Growth
28	0	GO:0009910	negative regulation of flower development	48	13	4.268298012	3.045710483	0.001105478	AT2G31650,AT1G61040,AT3G05040,AT5G67100,AT5G49160,AT5G60410,AT2G20570,AT2G22540,AT5G11530,AT1G77300,AT1G79730,AT5G51230,AT5G03840	Development & Growth
35	0	GO:0009640	photomorphogenesis	80	20	7.11383002	2.811425061	0.000148071	AT4G08920,AT5G23670,AT2G32950,AT5G42970,AT3G21150,AT3G02260,AT4G32700,AT5G23040,AT4G28860,AT4G38960,AT1G78600,AT1G74660,AT4G11110,AT3G15354,AT3G47710,AT4G37470,AT1G71230,AT4G32980,AT1G80730,AT5G56280	Development & Growth
26	0	GO:0048232	male gamete generation	72	20	6.402447018	3.123805624	4.34E-05	AT5G48720,AT3G07970,AT3G07100,AT3G23670,AT5G57800,AT2G14750,AT3G03900,AT5G48390,AT2G32460,AT5G57880,AT1G75950,AT4G35280,AT4G29040,AT1G77320,AT1G18450,AT1G50240,AT4G11720,AT2G24260,AT3G07160,AT5G56580	Development & Growth
56	0	GO:0009793	embryo development ending in seed dormancy	541	100	48.10727551	2.078687661	3.27E-10	AT1G44900,AT1G15220,AT4G20090,AT5G18700,AT5G49160,AT4G29860,AT3G15880,AT1G78630,AT2G18390,AT1G49510,AT2G38280,AT1G13290,AT1G79560,AT1G79440,AT1G06220,AT1G63700,AT5G22800,AT1G15750,AT5G22510,AT1G60160,AT5G62090,AT2G31530,AT4G21190,AT5G22110,AT3G60740,AT5G23040,AT5G66055,AT1G30610,AT4G20140,AT1G48410,AT5G13010,AT1G07420,AT1G36160,AT4G30580,AT2G33880,AT5G24400,AT4G07410,AT4G22970,AT5G64580,AT4G31160,AT4G21800,AT3G51840,AT5G56270,AT2G28880,AT4G26300,AT2G32280,AT1G50030,AT5G10360,AT1G79230,AT3G02130,AT1G11060,AT1G17840,AT1G14610,AT4G39620,AT5G10330,AT4G13750,AT5G61410,AT3G44160,AT5G58230,AT2G27170,AT5G48840,AT5G23880,AT3G01610,AT3G27785,AT3G18290,AT3G20630,AT4G04350,AT4G36480,AT2G30920,AT3G19770,AT2G32700,AT5G05950,AT3G48750,AT2G21060,AT5G13170,AT3G17910,AT5G55490,AT5G49820,AT1G13980,AT1G12770,AT1G08590,AT1G67960,AT2G35340,AT5G02250,AT5G20920,AT3G53700,AT2G35510,AT1G32490,AT3G55610,AT1G55350,AT1G71830,AT2G34260,AT5G22370,AT5G42080,AT4G09980,AT3G48930,AT5G04560,AT1G20200,AT1G80410,AT2G43410	Development & Growth
