chr	pos	num_overlap	num_outliers	ratio
Hic_asm_0	510000	5	29	0.172413793103448
Hic_asm_0	520000	5	33	0.151515151515152
Hic_asm_0	530000	5	32	0.15625
Hic_asm_0	540000	5	31	0.161290322580645
Hic_asm_0	550000	5	32	0.15625
Hic_asm_0	560000	5	31	0.161290322580645
Hic_asm_0	570000	0	28	0
Hic_asm_0	580000	0	29	0
Hic_asm_0	590000	0	33	0
Hic_asm_0	6e+05	0	30	0
Hic_asm_0	610000	0	26	0
Hic_asm_0	620000	0	21	0
Hic_asm_0	630000	0	20	0
Hic_asm_0	640000	0	20	0
Hic_asm_0	650000	0	14	0
Hic_asm_0	660000	0	11	0
Hic_asm_0	670000	0	10	0
Hic_asm_0	680000	0	6	0
Hic_asm_0	690000	0	2	0
Hic_asm_0	7e+05	0	1	0
Hic_asm_0	710000	0	1	0
Hic_asm_0	720000	0	1	0
Hic_asm_0	730000	0	1	0
Hic_asm_0	740000	0	2	0
Hic_asm_0	750000	0	2	0
Hic_asm_0	760000	0	2	0
Hic_asm_0	770000	0	1	0
Hic_asm_0	780000	0	2	0
Hic_asm_0	790000	0	3	0
Hic_asm_0	8e+05	0	3	0
Hic_asm_0	810000	0	3	0
Hic_asm_0	820000	3	6	0.5
Hic_asm_0	830000	3	6	0.5
Hic_asm_0	840000	3	5	0.6
Hic_asm_0	850000	3	5	0.6
Hic_asm_0	860000	3	5	0.6
Hic_asm_0	870000	3	5	0.6
Hic_asm_0	880000	3	4	0.75
Hic_asm_0	890000	3	3	1
Hic_asm_0	9e+05	3	5	0.6
Hic_asm_0	910000	3	13	0.230769230769231
Hic_asm_0	920000	0	12	0
Hic_asm_0	930000	0	13	0
Hic_asm_0	940000	0	18	0
Hic_asm_0	950000	0	23	0
Hic_asm_0	960000	0	31	0
Hic_asm_0	970000	5	36	0.138888888888889
Hic_asm_0	980000	22	53	0.415094339622642
Hic_asm_0	990000	30	61	0.491803278688525
Hic_asm_0	1e+06	30	66	0.454545454545455
Hic_asm_0	1010000	30	68	0.441176470588235
Hic_asm_0	1020000	33	69	0.478260869565217
Hic_asm_0	1030000	33	68	0.485294117647059
Hic_asm_0	1040000	33	67	0.492537313432836
Hic_asm_0	1050000	41	70	0.585714285714286
Hic_asm_0	1060000	41	67	0.611940298507463
Hic_asm_0	1070000	38	64	0.59375
Hic_asm_0	1080000	21	51	0.411764705882353
Hic_asm_0	1090000	13	45	0.288888888888889
Hic_asm_0	1100000	14	39	0.358974358974359
Hic_asm_0	1110000	14	38	0.368421052631579
Hic_asm_0	1120000	11	40	0.275
Hic_asm_0	1130000	11	62	0.17741935483871
Hic_asm_0	1140000	11	63	0.174603174603175
Hic_asm_0	1150000	3	59	0.0508474576271186
Hic_asm_0	1160000	3	64	0.046875
Hic_asm_0	1170000	1	62	0.0161290322580645
Hic_asm_0	1180000	1	59	0.0169491525423729
Hic_asm_0	1190000	1	63	0.0158730158730159
Hic_asm_0	1200000	0	75	0
Hic_asm_0	1210000	0	66	0
Hic_asm_0	1220000	0	66	0
Hic_asm_0	1230000	0	56	0
Hic_asm_0	1240000	0	53	0
Hic_asm_0	1250000	0	49	0
Hic_asm_0	1260000	0	39	0
Hic_asm_0	1270000	0	39	0
Hic_asm_0	1280000	0	39	0
Hic_asm_0	1290000	0	40	0
Hic_asm_0	1300000	0	34	0
Hic_asm_0	1310000	0	78	0
Hic_asm_0	1320000	0	114	0
Hic_asm_0	1330000	0	105	0
Hic_asm_0	1340000	0	106	0
Hic_asm_0	1350000	5	111	0.045045045045045
Hic_asm_0	1360000	5	130	0.0384615384615385
Hic_asm_0	1370000	24	149	0.161073825503356
Hic_asm_0	1380000	37	161	0.229813664596273
Hic_asm_0	1390000	37	159	0.232704402515723
Hic_asm_0	1400000	37	158	0.234177215189873
Hic_asm_0	1410000	37	116	0.318965517241379
Hic_asm_0	1420000	37	80	0.4625
Hic_asm_0	1430000	40	80	0.5
Hic_asm_0	1440000	40	85	0.470588235294118
Hic_asm_0	1450000	35	83	0.421686746987952
Hic_asm_0	1460000	35	71	0.492957746478873
Hic_asm_0	1470000	16	53	0.30188679245283
Hic_asm_0	1480000	3	44	0.0681818181818182
Hic_asm_0	1490000	3	43	0.0697674418604651
Hic_asm_0	1500000	3	42	0.0714285714285714
Hic_asm_0	1510000	3	44	0.0681818181818182
Hic_asm_0	1520000	3	44	0.0681818181818182
Hic_asm_0	1530000	0	47	0
Hic_asm_0	1540000	0	45	0
Hic_asm_0	1550000	0	46	0
Hic_asm_0	1560000	0	42	0
Hic_asm_0	1570000	1	42	0.0238095238095238
Hic_asm_0	1580000	9	46	0.195652173913043
Hic_asm_0	1590000	9	45	0.2
Hic_asm_0	1600000	9	41	0.219512195121951
Hic_asm_0	1610000	9	40	0.225
Hic_asm_0	1620000	9	39	0.230769230769231
Hic_asm_0	1630000	9	37	0.243243243243243
Hic_asm_0	1640000	9	36	0.25
Hic_asm_0	1650000	9	32	0.28125
Hic_asm_0	1660000	9	31	0.290322580645161
Hic_asm_0	1670000	8	31	0.258064516129032
Hic_asm_0	1680000	0	26	0
Hic_asm_0	1690000	0	25	0
Hic_asm_0	1700000	0	25	0
Hic_asm_0	1710000	0	25	0
Hic_asm_0	1720000	0	29	0
Hic_asm_0	1730000	0	29	0
Hic_asm_0	1740000	0	24	0
Hic_asm_0	1750000	0	25	0
Hic_asm_0	1760000	0	24	0
Hic_asm_0	1770000	0	27	0
Hic_asm_0	1780000	5	29	0.172413793103448
Hic_asm_0	1790000	5	31	0.161290322580645
Hic_asm_0	1800000	5	34	0.147058823529412
Hic_asm_0	1810000	5	35	0.142857142857143
Hic_asm_0	1820000	5	27	0.185185185185185
Hic_asm_0	1830000	5	25	0.2
Hic_asm_0	1840000	5	25	0.2
Hic_asm_0	1850000	5	24	0.208333333333333
Hic_asm_0	1860000	5	27	0.185185185185185
Hic_asm_0	1870000	5	30	0.166666666666667
Hic_asm_0	1880000	0	27	0
Hic_asm_0	1890000	0	24	0
Hic_asm_0	1900000	0	20	0
Hic_asm_0	1910000	0	16	0
Hic_asm_0	1920000	0	16	0
Hic_asm_0	1930000	0	14	0
Hic_asm_0	1940000	0	14	0
Hic_asm_0	1950000	0	14	0
Hic_asm_0	1960000	1	11	0.0909090909090909
Hic_asm_0	1970000	1	6	0.166666666666667
Hic_asm_0	1980000	7	10	0.7
Hic_asm_0	1990000	12	14	0.857142857142857
Hic_asm_0	2e+06	13	15	0.866666666666667
Hic_asm_0	2010000	13	15	0.866666666666667
Hic_asm_0	2020000	13	18	0.722222222222222
Hic_asm_0	2030000	18	23	0.782608695652174
Hic_asm_0	2040000	18	26	0.692307692307692
Hic_asm_0	2050000	18	33	0.545454545454545
Hic_asm_0	2060000	17	34	0.5
Hic_asm_0	2070000	17	37	0.459459459459459
Hic_asm_0	2080000	11	36	0.305555555555556
Hic_asm_0	2090000	6	38	0.157894736842105
Hic_asm_0	2100000	5	38	0.131578947368421
Hic_asm_0	2110000	5	39	0.128205128205128
Hic_asm_0	2120000	5	36	0.138888888888889
Hic_asm_0	2130000	0	33	0
Hic_asm_0	2140000	0	31	0
Hic_asm_0	2150000	4	28	0.142857142857143
Hic_asm_0	2160000	5	27	0.185185185185185
Hic_asm_0	2170000	5	25	0.2
Hic_asm_0	2180000	5	24	0.208333333333333
Hic_asm_0	2190000	5	22	0.227272727272727
Hic_asm_0	2200000	5	32	0.15625
Hic_asm_0	2210000	5	35	0.142857142857143
Hic_asm_0	2220000	5	36	0.138888888888889
Hic_asm_0	2230000	5	37	0.135135135135135
Hic_asm_0	2240000	9	40	0.225
Hic_asm_0	2250000	10	41	0.24390243902439
Hic_asm_0	2260000	9	43	0.209302325581395
Hic_asm_0	2270000	9	43	0.209302325581395
Hic_asm_0	2280000	9	46	0.195652173913043
Hic_asm_0	2290000	9	45	0.2
Hic_asm_0	2300000	9	38	0.236842105263158
Hic_asm_0	2310000	9	35	0.257142857142857
Hic_asm_0	2320000	15	40	0.375
Hic_asm_0	2330000	15	39	0.384615384615385
Hic_asm_0	2340000	11	38	0.289473684210526
Hic_asm_0	2350000	6	40	0.15
Hic_asm_0	2360000	6	41	0.146341463414634
Hic_asm_0	2370000	6	43	0.13953488372093
Hic_asm_0	2380000	6	37	0.162162162162162
Hic_asm_0	2390000	6	33	0.181818181818182
Hic_asm_0	2400000	6	29	0.206896551724138
Hic_asm_0	2410000	6	28	0.214285714285714
Hic_asm_0	2420000	0	22	0
Hic_asm_0	2430000	0	20	0
Hic_asm_0	2440000	0	20	0
Hic_asm_0	2450000	0	16	0
Hic_asm_0	2460000	0	16	0
Hic_asm_0	2470000	0	16	0
Hic_asm_0	2480000	0	15	0
Hic_asm_0	2490000	0	15	0
Hic_asm_0	2500000	0	15	0
Hic_asm_0	2510000	2	17	0.117647058823529
Hic_asm_0	2520000	2	22	0.0909090909090909
Hic_asm_0	2530000	2	26	0.0769230769230769
Hic_asm_0	2540000	2	25	0.08
Hic_asm_0	2550000	2	27	0.0740740740740741
Hic_asm_0	2560000	2	24	0.0833333333333333
Hic_asm_0	2570000	2	21	0.0952380952380952
Hic_asm_0	2580000	2	26	0.0769230769230769
Hic_asm_0	2590000	2	27	0.0740740740740741
Hic_asm_0	2600000	2	28	0.0714285714285714
Hic_asm_0	2610000	0	26	0
Hic_asm_0	2620000	0	24	0
Hic_asm_0	2630000	0	20	0
Hic_asm_0	2640000	0	18	0
Hic_asm_0	2650000	0	13	0
Hic_asm_0	2660000	0	12	0
Hic_asm_0	2670000	11	21	0.523809523809524
Hic_asm_0	2680000	17	22	0.772727272727273
Hic_asm_0	2690000	17	24	0.708333333333333
Hic_asm_0	2700000	17	28	0.607142857142857
Hic_asm_0	2710000	17	35	0.485714285714286
Hic_asm_0	2720000	22	37	0.594594594594595
Hic_asm_0	2730000	22	39	0.564102564102564
Hic_asm_0	2740000	22	39	0.564102564102564
Hic_asm_0	2750000	22	50	0.44
Hic_asm_0	2760000	22	57	0.385964912280702
Hic_asm_0	2770000	11	52	0.211538461538462
Hic_asm_0	2780000	5	50	0.1
Hic_asm_0	2790000	5	53	0.0943396226415094
Hic_asm_0	2800000	5	53	0.0943396226415094
Hic_asm_0	2810000	5	53	0.0943396226415094
Hic_asm_0	2820000	0	53	0
Hic_asm_0	2830000	0	52	0
Hic_asm_0	2840000	0	53	0
Hic_asm_0	2850000	0	42	0
Hic_asm_0	2860000	0	37	0
Hic_asm_0	2870000	0	32	0
Hic_asm_0	2880000	0	30	0
Hic_asm_0	2890000	0	24	0
Hic_asm_0	2900000	0	19	0
Hic_asm_0	2910000	0	12	0
Hic_asm_0	2920000	0	10	0
Hic_asm_0	2930000	5	14	0.357142857142857
Hic_asm_0	2940000	5	17	0.294117647058824
Hic_asm_0	2950000	5	28	0.178571428571429
Hic_asm_0	2960000	5	32	0.15625
Hic_asm_0	2970000	5	37	0.135135135135135
Hic_asm_0	2980000	5	38	0.131578947368421
Hic_asm_0	2990000	5	40	0.125
Hic_asm_0	3e+06	5	49	0.102040816326531
Hic_asm_0	3010000	5	52	0.0961538461538462
Hic_asm_0	3020000	5	54	0.0925925925925926
Hic_asm_0	3030000	2	51	0.0392156862745098
Hic_asm_0	3040000	11	56	0.196428571428571
Hic_asm_0	3050000	11	50	0.22
Hic_asm_0	3060000	11	59	0.186440677966102
Hic_asm_0	3070000	11	63	0.174603174603175
Hic_asm_0	3080000	11	60	0.183333333333333
Hic_asm_0	3090000	11	64	0.171875
Hic_asm_0	3100000	11	63	0.174603174603175
Hic_asm_0	3110000	11	66	0.166666666666667
Hic_asm_0	3120000	11	63	0.174603174603175
Hic_asm_0	3130000	9	62	0.145161290322581
Hic_asm_0	3140000	0	59	0
Hic_asm_0	3150000	0	59	0
Hic_asm_0	3160000	0	52	0
Hic_asm_0	3170000	0	44	0
Hic_asm_0	3180000	3	47	0.0638297872340425
Hic_asm_0	3190000	3	43	0.0697674418604651
Hic_asm_0	3200000	3	35	0.0857142857142857
Hic_asm_0	3210000	4	30	0.133333333333333
Hic_asm_0	3220000	4	29	0.137931034482759
Hic_asm_0	3230000	5	29	0.172413793103448
Hic_asm_0	3240000	5	25	0.2
Hic_asm_0	3250000	12	27	0.444444444444444
Hic_asm_0	3260000	12	22	0.545454545454545
Hic_asm_0	3270000	12	20	0.6
Hic_asm_0	3280000	9	17	0.529411764705882
Hic_asm_0	3290000	10	16	0.625
Hic_asm_0	3300000	11	17	0.647058823529412
Hic_asm_0	3310000	14	20	0.7
Hic_asm_0	3320000	14	21	0.666666666666667
Hic_asm_0	3330000	18	25	0.72
Hic_asm_0	3340000	22	27	0.814814814814815
Hic_asm_0	3350000	15	22	0.681818181818182
Hic_asm_0	3360000	15	25	0.6
Hic_asm_0	3370000	15	25	0.6
Hic_asm_0	3380000	15	25	0.6
Hic_asm_0	3390000	14	24	0.583333333333333
Hic_asm_0	3400000	13	23	0.565217391304348
Hic_asm_0	3410000	9	19	0.473684210526316
Hic_asm_0	3420000	9	17	0.529411764705882
Hic_asm_0	3430000	4	13	0.307692307692308
Hic_asm_0	3440000	0	9	0
Hic_asm_0	3450000	0	9	0
Hic_asm_0	3460000	0	3	0
Hic_asm_0	3470000	0	6	0
Hic_asm_0	3480000	0	11	0
Hic_asm_0	3490000	0	12	0
Hic_asm_0	3500000	5	17	0.294117647058824
Hic_asm_0	3510000	5	20	0.25
Hic_asm_0	3520000	5	23	0.217391304347826
Hic_asm_0	3530000	5	27	0.185185185185185
Hic_asm_0	3540000	7	29	0.241379310344828
Hic_asm_0	3550000	10	30	0.333333333333333
Hic_asm_0	3560000	11	31	0.354838709677419
Hic_asm_0	3570000	11	34	0.323529411764706
Hic_asm_0	3580000	14	32	0.4375
Hic_asm_0	3590000	15	32	0.46875
Hic_asm_0	3600000	10	28	0.357142857142857
Hic_asm_0	3610000	14	29	0.482758620689655
Hic_asm_0	3620000	14	36	0.388888888888889
Hic_asm_0	3630000	14	35	0.4
Hic_asm_0	3640000	12	36	0.333333333333333
Hic_asm_0	3650000	9	36	0.25
Hic_asm_0	3660000	8	37	0.216216216216216
Hic_asm_0	3670000	8	32	0.25
Hic_asm_0	3680000	5	29	0.172413793103448
Hic_asm_0	3690000	4	31	0.129032258064516
Hic_asm_0	3700000	4	40	0.1
Hic_asm_0	3710000	2	38	0.0526315789473684
Hic_asm_0	3720000	2	32	0.0625
Hic_asm_0	3730000	2	30	0.0666666666666667
Hic_asm_0	3740000	2	29	0.0689655172413793
Hic_asm_0	3750000	2	34	0.0588235294117647
Hic_asm_0	3760000	2	35	0.0571428571428571
Hic_asm_0	3770000	2	41	0.0487804878048781
Hic_asm_0	3780000	6	45	0.133333333333333
Hic_asm_0	3790000	6	45	0.133333333333333
Hic_asm_0	3800000	6	36	0.166666666666667
Hic_asm_0	3810000	4	37	0.108108108108108
Hic_asm_0	3820000	4	36	0.111111111111111
Hic_asm_0	3830000	4	35	0.114285714285714
Hic_asm_0	3840000	4	34	0.117647058823529
Hic_asm_0	3850000	4	27	0.148148148148148
Hic_asm_0	3860000	4	27	0.148148148148148
Hic_asm_0	3870000	4	23	0.173913043478261
Hic_asm_0	3880000	0	25	0
Hic_asm_0	3890000	0	31	0
Hic_asm_0	3900000	2	32	0.0625
Hic_asm_0	3910000	2	31	0.0645161290322581
Hic_asm_0	3920000	5	31	0.161290322580645
Hic_asm_0	3930000	10	35	0.285714285714286
Hic_asm_0	3940000	10	36	0.277777777777778
Hic_asm_0	3950000	10	35	0.285714285714286
Hic_asm_0	3960000	10	33	0.303030303030303
Hic_asm_0	3970000	10	31	0.32258064516129
Hic_asm_0	3980000	10	26	0.384615384615385
Hic_asm_0	3990000	10	22	0.454545454545455
Hic_asm_0	4e+06	9	21	0.428571428571429
Hic_asm_0	4010000	11	21	0.523809523809524
Hic_asm_0	4020000	12	22	0.545454545454545
Hic_asm_0	4030000	8	18	0.444444444444444
Hic_asm_0	4040000	8	17	0.470588235294118
Hic_asm_0	4050000	8	17	0.470588235294118
Hic_asm_0	4060000	10	18	0.555555555555556
Hic_asm_0	4070000	11	18	0.611111111111111
Hic_asm_0	4080000	11	18	0.611111111111111
Hic_asm_0	4090000	11	16	0.6875
Hic_asm_0	4100000	10	21	0.476190476190476
Hic_asm_0	4110000	8	27	0.296296296296296
Hic_asm_0	4120000	4	33	0.121212121212121
Hic_asm_0	4130000	17	46	0.369565217391304
Hic_asm_0	4140000	35	63	0.555555555555556
Hic_asm_0	4150000	35	69	0.507246376811594
Hic_asm_0	4160000	33	72	0.458333333333333
Hic_asm_0	4170000	37	76	0.486842105263158
Hic_asm_0	4180000	45	83	0.542168674698795
Hic_asm_0	4190000	45	83	0.542168674698795
Hic_asm_0	4200000	45	81	0.555555555555556
Hic_asm_0	4210000	59	87	0.67816091954023
Hic_asm_0	4220000	61	79	0.772151898734177
Hic_asm_0	4230000	50	68	0.735294117647059
Hic_asm_0	4240000	36	54	0.666666666666667
Hic_asm_0	4250000	36	50	0.72
Hic_asm_0	4260000	43	52	0.826923076923077
Hic_asm_0	4270000	40	49	0.816326530612245
Hic_asm_0	4280000	32	43	0.744186046511628
Hic_asm_0	4290000	32	40	0.8
Hic_asm_0	4300000	32	36	0.888888888888889
Hic_asm_0	4310000	18	24	0.75
Hic_asm_0	4320000	19	25	0.76
Hic_asm_0	4330000	17	23	0.739130434782609
Hic_asm_0	4340000	15	21	0.714285714285714
Hic_asm_0	4350000	15	24	0.625
Hic_asm_0	4360000	8	20	0.4
Hic_asm_0	4370000	6	22	0.272727272727273
Hic_asm_0	4380000	6	20	0.3
Hic_asm_0	4390000	6	22	0.272727272727273
Hic_asm_0	4400000	6	27	0.222222222222222
Hic_asm_0	4410000	6	26	0.230769230769231
Hic_asm_0	4420000	3	24	0.125
Hic_asm_0	4430000	2	24	0.0833333333333333
Hic_asm_0	4440000	0	22	0
Hic_asm_0	4450000	0	21	0
Hic_asm_0	4460000	0	20	0
Hic_asm_0	4470000	0	22	0
Hic_asm_0	4480000	0	22	0
Hic_asm_0	4490000	0	23	0
Hic_asm_0	4500000	0	27	0
Hic_asm_0	4510000	0	43	0
Hic_asm_0	4520000	13	55	0.236363636363636
Hic_asm_0	4530000	13	67	0.194029850746269
Hic_asm_0	4540000	13	80	0.1625
Hic_asm_0	4550000	28	91	0.307692307692308
Hic_asm_0	4560000	28	94	0.297872340425532
Hic_asm_0	4570000	28	110	0.254545454545455
Hic_asm_0	4580000	44	126	0.349206349206349
Hic_asm_0	4590000	44	161	0.273291925465839
Hic_asm_0	4600000	44	155	0.283870967741935
Hic_asm_0	4610000	44	167	0.263473053892216
Hic_asm_0	4620000	60	183	0.327868852459016
Hic_asm_0	4630000	60	176	0.340909090909091
Hic_asm_0	4640000	60	167	0.359281437125749
Hic_asm_0	4650000	45	154	0.292207792207792
Hic_asm_0	4660000	45	150	0.3
Hic_asm_0	4670000	45	130	0.346153846153846
Hic_asm_0	4680000	29	117	0.247863247863248
Hic_asm_0	4690000	29	79	0.367088607594937
Hic_asm_0	4700000	29	80	0.3625
Hic_asm_0	4710000	30	52	0.576923076923077
Hic_asm_0	4720000	1	23	0.0434782608695652
Hic_asm_0	4730000	1	18	0.0555555555555556
Hic_asm_0	4740000	1	15	0.0666666666666667
Hic_asm_0	4750000	1	14	0.0714285714285714
Hic_asm_0	4760000	1	21	0.0476190476190476
Hic_asm_0	4770000	1	24	0.0416666666666667
Hic_asm_0	4780000	1	27	0.037037037037037
Hic_asm_0	4790000	1	28	0.0357142857142857
Hic_asm_0	4800000	1	25	0.04
Hic_asm_0	4810000	0	24	0
Hic_asm_0	4820000	0	24	0
Hic_asm_0	4830000	0	25	0
Hic_asm_0	4840000	3	27	0.111111111111111
Hic_asm_0	4850000	3	29	0.103448275862069
Hic_asm_0	4860000	3	23	0.130434782608696
Hic_asm_0	4870000	8	23	0.347826086956522
Hic_asm_0	4880000	8	20	0.4
Hic_asm_0	4890000	8	20	0.4
Hic_asm_0	4900000	10	21	0.476190476190476
Hic_asm_0	4910000	10	25	0.4
Hic_asm_0	4920000	15	30	0.5
Hic_asm_0	4930000	16	29	0.551724137931034
Hic_asm_0	4940000	13	26	0.5
Hic_asm_0	4950000	13	23	0.565217391304348
Hic_asm_0	4960000	13	21	0.619047619047619
Hic_asm_0	4970000	8	16	0.5
Hic_asm_0	4980000	8	13	0.615384615384615
Hic_asm_0	4990000	8	12	0.666666666666667
Hic_asm_0	5e+06	6	10	0.6
Hic_asm_0	5010000	6	6	1
Hic_asm_0	5020000	1	1	1
Hic_asm_0	5100000	0	1	0
Hic_asm_0	5110000	0	3	0
Hic_asm_0	5120000	2	5	0.4
Hic_asm_0	5130000	2	9	0.222222222222222
Hic_asm_0	5140000	2	11	0.181818181818182
Hic_asm_0	5150000	2	16	0.125
Hic_asm_0	5160000	3	17	0.176470588235294
Hic_asm_0	5170000	4	18	0.222222222222222
Hic_asm_0	5180000	4	21	0.19047619047619
Hic_asm_0	5190000	4	22	0.181818181818182
Hic_asm_0	5200000	4	22	0.181818181818182
Hic_asm_0	5210000	4	31	0.129032258064516
Hic_asm_0	5220000	2	38	0.0526315789473684
Hic_asm_0	5230000	3	35	0.0857142857142857
Hic_asm_0	5240000	3	35	0.0857142857142857
Hic_asm_0	5250000	3	30	0.1
Hic_asm_0	5260000	2	32	0.0625
Hic_asm_0	5270000	1	33	0.0303030303030303
Hic_asm_0	5280000	9	38	0.236842105263158
Hic_asm_0	5290000	9	38	0.236842105263158
Hic_asm_0	5300000	9	37	0.243243243243243
Hic_asm_0	5310000	9	32	0.28125
Hic_asm_0	5320000	9	26	0.346153846153846
Hic_asm_0	5330000	8	30	0.266666666666667
Hic_asm_0	5340000	8	29	0.275862068965517
Hic_asm_0	5350000	8	30	0.266666666666667
Hic_asm_0	5360000	8	28	0.285714285714286
Hic_asm_0	5370000	8	26	0.307692307692308
Hic_asm_0	5380000	0	19	0
Hic_asm_0	5390000	0	19	0
Hic_asm_0	5400000	0	19	0
Hic_asm_0	5410000	0	13	0
Hic_asm_0	5420000	0	10	0
Hic_asm_0	5430000	0	5	0
Hic_asm_0	5440000	0	4	0
Hic_asm_0	5450000	0	3	0
Hic_asm_0	5460000	0	2	0
Hic_asm_0	5470000	0	2	0
Hic_asm_0	5480000	0	1	0
Hic_asm_0	5490000	0	1	0
Hic_asm_0	5500000	0	6	0
Hic_asm_0	5510000	0	8	0
Hic_asm_0	5520000	0	9	0
Hic_asm_0	5530000	0	16	0
Hic_asm_0	5540000	6	22	0.272727272727273
Hic_asm_0	5550000	6	25	0.24
Hic_asm_0	5560000	6	27	0.222222222222222
Hic_asm_0	5570000	6	29	0.206896551724138
Hic_asm_0	5580000	16	39	0.41025641025641
Hic_asm_0	5590000	16	40	0.4
Hic_asm_0	5600000	16	43	0.372093023255814
Hic_asm_0	5610000	16	42	0.380952380952381
Hic_asm_0	5620000	16	42	0.380952380952381
Hic_asm_0	5630000	16	36	0.444444444444444
Hic_asm_0	5640000	12	32	0.375
Hic_asm_0	5650000	12	35	0.342857142857143
Hic_asm_0	5660000	12	34	0.352941176470588
Hic_asm_0	5670000	12	34	0.352941176470588
Hic_asm_0	5680000	2	30	0.0666666666666667
Hic_asm_0	5690000	2	35	0.0571428571428571
Hic_asm_0	5700000	2	32	0.0625
Hic_asm_0	5710000	2	43	0.0465116279069767
Hic_asm_0	5720000	5	45	0.111111111111111
Hic_asm_0	5730000	5	46	0.108695652173913
Hic_asm_0	5740000	3	48	0.0625
Hic_asm_0	5750000	3	42	0.0714285714285714
Hic_asm_0	5760000	3	42	0.0714285714285714
Hic_asm_0	5770000	3	40	0.075
Hic_asm_0	5780000	3	34	0.0882352941176471
Hic_asm_0	5790000	3	28	0.107142857142857
Hic_asm_0	5800000	3	23	0.130434782608696
Hic_asm_0	5810000	6	14	0.428571428571429
Hic_asm_0	5820000	3	12	0.25
Hic_asm_0	5830000	3	11	0.272727272727273
Hic_asm_0	5840000	3	8	0.375
Hic_asm_0	5850000	3	12	0.25
Hic_asm_0	5860000	3	13	0.230769230769231
Hic_asm_0	5870000	6	16	0.375
Hic_asm_0	5880000	7	17	0.411764705882353
Hic_asm_0	5890000	9	18	0.5
Hic_asm_0	5900000	11	20	0.55
Hic_asm_0	5910000	11	20	0.55
Hic_asm_0	5920000	11	20	0.55
Hic_asm_0	5930000	11	19	0.578947368421053
Hic_asm_0	5940000	16	23	0.695652173913043
Hic_asm_0	5950000	16	29	0.551724137931034
Hic_asm_0	5960000	28	39	0.717948717948718
Hic_asm_0	5970000	33	44	0.75
Hic_asm_0	5980000	32	45	0.711111111111111
Hic_asm_0	5990000	30	45	0.666666666666667
Hic_asm_0	6e+06	32	47	0.680851063829787
Hic_asm_0	6010000	33	48	0.6875
Hic_asm_0	6020000	35	49	0.714285714285714
Hic_asm_0	6030000	35	51	0.686274509803922
Hic_asm_0	6040000	30	51	0.588235294117647
Hic_asm_0	6050000	30	47	0.638297872340426
Hic_asm_0	6060000	18	36	0.5
Hic_asm_0	6070000	13	31	0.419354838709677
Hic_asm_0	6080000	13	29	0.448275862068966
Hic_asm_0	6090000	13	27	0.481481481481481
Hic_asm_0	6100000	9	23	0.391304347826087
Hic_asm_0	6110000	5	19	0.263157894736842
Hic_asm_0	6120000	3	17	0.176470588235294
Hic_asm_0	6130000	3	15	0.2
Hic_asm_0	6140000	3	10	0.3
Hic_asm_0	6150000	3	4	0.75
Hic_asm_0	6160000	3	4	0.75
Hic_asm_0	6170000	0	1	0
Hic_asm_0	6180000	6	7	0.857142857142857
Hic_asm_0	6190000	6	8	0.75
Hic_asm_0	6200000	6	8	0.75
